date,hashtag,mentions,source,sku,post_id,text
2026-01-01,#kettle,12,TikTok,GS-019,tk_001,Love this cordless kettle — boils fast! #kettle
2026-01-01,#mug,5,Instagram,GS-045,ig_001,My new ceramic mug is perfect #mug
2026-01-01,#coffee,8,Twitter,GS-045,tw_001,Nothing beats morning coffee in a good mug #coffee #mug
2026-01-02,#kettle,18,TikTok,GS-019,tk_002,Unboxing the best kettle of 2026 #kettle
2026-01-02,#vintage,22,Instagram,VDJ-045,ig_002,Vintage denim fits so well #vintage #denim
2026-01-02,#sustainable,7,Twitter,,tw_002,Sustainable fashion choices are the future #sustainable
2026-01-03,#kettle,45,TikTok,GS-019,tk_003,Massive spike after influencer demo #kettle
2026-01-03,#pearl,30,TikTok,PDE-112,tk_004,Pearl drop earrings trending #pearl
2026-01-03,#mug,10,Instagram,GS-045,ig_003,Cozy mug photoshoot #mug
2026-01-04,#kettle,60,TikTok,GS-019,tk_005,Lots of shares — viral kettle clip #kettle
2026-01-04,#kettle,5,Instagram,GS-019,ig_004,Gift idea for parents #kettle
2026-01-04,#crossbody,9,Instagram,LCB-089,ig_005,New crossbody bag drop #crossbody
2026-01-05,#pearl,12,Twitter,PDE-112,tw_003,Minimal jewelry trends #pearl
2026-01-05,#denim,15,Instagram,VDJ-045,ig_006,Denim jacket styling tips #denim
2026-01-05,#kettle,75,TikTok,GS-019,tk_006,Another viral duet — mentions soar #kettle
2026-01-06,#kettle,20,Twitter,GS-019,tw_004,Heard about this kettle from a friend #kettle
2026-01-06,#sweater,8,Instagram,CBS-067,ig_007,Cozy cashmere finds #sweater
2026-01-06,#sustainable,14,Instagram,,ig_008,Brands doing sustainable packaging #sustainable
2026-01-07,#kettle,110,TikTok,GS-019,tk_007,Kettle challenge goes viral — massive velocity #kettle
2026-01-07,#mug,30,Instagram,GS-045,ig_009,Mug art trend continues #mug
2026-01-07,#pearl,40,Twitter,PDE-112,tw_005,Influencer shows pearl styling #pearl
2026-01-08,#kettle,95,TikTok,GS-019,tk_008,Sustained high mentions after feature #kettle
2026-01-08,#crossbody,18,Instagram,LCB-089,ig_010,Streetstyle crossbody looks #crossbody
2026-01-08,#denim,22,Twitter,VDJ-045,tw_006,Denim aesthetic discussion #denim
2026-01-08,#sustainable,28,Twitter,,tw_007,Consumers ask about recycled materials #sustainable
2026-01-09,#kettle,130,TikTok,GS-019,tk_009,Peak mentions — retailer sold out locally #kettle
2026-01-09,#mug,50,Instagram,GS-045,ig_011,Weekend mug haul #mug
2026-01-09,#pearl,65,Instagram,PDE-112,ig_012,Pearl jewelry #pearl trending on Reels
2026-01-09,#crossbody,35,Twitter,LCB-089,tw_008,Functional and stylish crossbody bags #crossbody
2026-01-09,#vintage,40,TikTok,VDJ-045,tk_010,Vintage denim styling goes large #vintage
2026-01-09,#coffee,20,Twitter,GS-045,tw_009,Barista picks trending mugs #coffee
2026-01-10,#kettle,85,Google,GS-019,gg_001,Google search volume for "electric kettle" spikes dramatically #kettle
2026-01-11,#kettle,90,Google,GS-019,gg_002,Search velocity continues upward on Google Trends #kettle
2026-01-12,#kettle,70,Google,GS-019,gg_003,Google Rising queries show kettle challenges #kettle

